clip,frame,t_sec,people,team_blue,team_red,goalkeepers
13,12,1.2,19,9,10,0
13,13,1.3,20,10,10,0
13,14,1.4,20,10,10,0
13,15,1.5,20,10,10,0
13,16,1.6,19,9,10,0
13,17,1.7,19,9,10,0
13,18,1.8,19,9,10,0
13,19,1.9,19,9,10,0
13,20,2.0,19,9,10,0
13,21,2.1,20,10,10,0
13,22,2.2,19,10,9,0
13,23,2.3,19,10,9,0
13,24,2.4,19,10,9,0
13,25,2.5,19,10,9,0
13,26,2.6,19,10,9,0
13,27,2.7,20,10,10,0
13,28,2.8,19,9,10,0
13,29,2.9,19,9,10,0
13,30,3.0,19,9,10,0
13,31,3.1,19,9,10,0
13,32,3.2,19,9,10,0
13,33,3.3,19,9,10,0
13,34,3.4,19,9,10,0
13,35,3.5,19,9,10,0
13,36,3.6,19,9,10,0
13,37,3.7,19,9,10,0
13,38,3.8,19,9,10,0
13,39,3.9,19,9,10,0
13,40,4.0,20,10,10,0
13,41,4.1,20,10,10,0
13,42,4.2,20,10,10,0
13,43,4.3,20,10,10,0
13,44,4.4,20,10,10,0
13,45,4.5,20,10,10,0
13,46,4.6,20,10,10,0
13,47,4.7,20,10,10,0
13,48,4.8,20,10,10,0
13,49,4.9,20,10,10,0
14,0,0.0,20,10,10,0
14,1,0.1,20,10,10,0
14,2,0.2,20,10,10,0
14,3,0.3,20,10,10,0
14,4,0.4,20,10,10,0
14,5,0.5,20,10,10,0
14,6,0.6,20,10,10,0
14,7,0.7,20,10,10,0
14,8,0.8,20,10,10,0
14,9,0.9,20,10,10,0
14,10,1.0,20,10,10,0
14,11,1.1,20,10,10,0
14,12,1.2,20,10,10,0
14,13,1.3,20,10,10,0
14,14,1.4,20,10,10,0
14,15,1.5,20,10,10,0
14,16,1.6,20,10,10,0
14,17,1.7,19,10,9,0
14,18,1.8,20,10,10,0
14,19,1.9,20,10,10,0
14,20,2.0,20,10,10,0
14,21,2.1,20,10,10,0
14,22,2.2,20,10,10,0
14,23,2.3,19,9,10,0
14,24,2.4,19,9,10,0
14,25,2.5,19,9,10,0
14,26,2.6,19,9,10,0
14,27,2.7,19,9,10,0
14,28,2.8,19,9,10,0
14,29,2.9,19,9,10,0
14,30,3.0,19,9,10,0
14,31,3.1,19,9,10,0
14,32,3.2,19,9,10,0
14,33,3.3,19,9,10,0
14,34,3.4,19,9,10,0
14,35,3.5,19,9,10,0
14,36,3.6,19,9,10,0
14,37,3.7,19,9,10,0
14,38,3.8,19,9,10,0
14,39,3.9,19,9,10,0
14,40,4.0,19,9,10,0
14,41,4.1,19,9,10,0
14,42,4.2,19,9,10,0
14,43,4.3,19,9,10,0
14,44,4.4,19,9,10,0
14,45,4.5,19,9,10,0
14,46,4.6,19,9,10,0
14,47,4.7,19,9,10,0
14,48,4.8,18,9,9,0
14,49,4.9,17,8,9,0
15,0,0.0,17,8,9,0
15,1,0.1,17,8,9,0
15,2,0.2,16,8,8,0
15,3,0.3,16,8,8,0
15,4,0.4,15,8,7,0
15,5,0.5,15,8,7,0
15,6,0.6,15,8,7,0
15,7,0.7,15,8,7,0
15,8,0.8,15,8,7,0
15,9,0.9,15,8,7,0
15,10,1.0,15,8,7,0
15,11,1.1,15,8,7,0
15,12,1.2,15,8,7,0
15,13,1.3,15,8,7,0
15,14,1.4,15,8,7,0
15,15,1.5,15,8,7,0
15,16,1.6,15,8,7,0
15,17,1.7,16,8,8,0
15,18,1.8,17,9,8,0
15,19,1.9,17,9,8,0
15,20,2.0,17,9,8,0
15,21,2.1,18,9,9,0
15,22,2.2,18,9,9,0
15,23,2.3,18,9,9,0
15,24,2.4,18,9,9,0
15,25,2.5,18,9,9,0
15,26,2.6,16,8,8,0
15,27,2.7,16,8,8,0
15,28,2.8,16,8,8,0
15,29,2.9,16,8,8,0
15,30,3.0,16,8,8,0
15,31,3.1,16,8,8,0
15,32,3.2,16,8,8,0
15,33,3.3,17,8,9,1
15,34,3.4,17,8,9,1
15,35,3.5,17,8,9,1
15,36,3.6,17,8,9,1
15,37,3.7,17,8,9,1
15,38,3.8,16,7,9,1
15,39,3.9,16,7,9,1
15,40,4.0,16,7,9,1
15,41,4.1,16,7,9,1
15,42,4.2,16,7,9,1
15,43,4.3,16,7,9,1
15,44,4.4,16,7,9,1
15,45,4.5,16,7,9,1
15,46,4.6,16,7,9,1
15,47,4.7,15,7,8,1
15,48,4.8,15,7,8,1
15,49,4.9,15,7,8,1
16,0,0.0,15,7,8,1
16,1,0.1,15,7,8,1
16,2,0.2,15,7,8,1
16,3,0.3,15,7,8,1
16,4,0.4,15,7,8,1
16,5,0.5,13,7,6,0
16,6,0.6,13,7,6,0
16,7,0.7,12,7,5,0
